Material ID,Formula,Crystal System,Sites,Energy Above Hull,Formation Energy,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization
mp-1079393,Co3Si,Hexagonal,8,0.068835059,-0.179457083,85.20586995,7.985827455,0,False,True,NM,0.000324
mp-1087479,CrCo3,Hexagonal,8,0.13707439,0.13707439,88.76719692,8.560012851,0,False,True,FiM,2.4929621
mp-1139,Co3Mo,Hexagonal,8,0.125986669,0.125986669,90.91535868,9.962997286,0,False,True,FiM,3.9539311
mp-1192425,YCo3,Hexagonal,24,0.04071238,-0.076506388,349.6102061,7.572105974,0,False,True,FiM,24.3630108
mp-2157,Co3W,Hexagonal,8,0.108725059,0.108725059,91.11604881,13.14490976,0,False,True,FiM,3.5543788
mp-542614,VCo3,Hexagonal,24,0.085044607,0.010522037,252.2339156,8.995768104,0,False,True,NM,0.015769
mp-11358,TaCo3,Cubic,4,0,-0.240166146,47.54505208,12.49454182,0,False,True,FiM,1.8818743
mp-608,TiCo3,Cubic,4,0.040453575,-0.163099422,46.14417732,8.084825931,0,False,True,FiM,2.7652851
mp-18748,Co3O4,Cubic,14,0.010479931,-1.279858293,130.2143405,6.141460782,0,False,True,FM,5.9999998
mp-20456,Co3Se4,Cubic,14,0,-0.349812147,247.9330903,6.598935831,0,False,True,AFM,0.0001266
mp-943,Co3S4,Cubic,14,0,-0.512189054,212.5225584,4.767149073,0,False,True,FM,5.9407159
mp-1190274,Co3Sn2,Orthorhombic,20,0.073981599,-0.002722142,300.6487968,9.151246377,0,False,True,NM,0.0419467
mp-20373,Co3B,Orthorhombic,16,0.017804337,-0.13095779,150.283195,8.29193725,0,False,True,FM,14.2613752
mp-20925,Co3C,Orthorhombic,16,0.130957252,0.130957252,146.6426213,8.552134479,0,False,True,FM,12.3346931
mp-1084826,Nd2Co3,Orthorhombic,10,0,-0.017783497,193.7392463,7.975891148,0,False,True,FiM,7.0532825
mp-569054,La2Co3,Orthorhombic,10,0.011483045,-0.014482539,201.1490456,7.505862476,0,False,True,FiM,6.5565345
mp-1198336,Al13Co4,Orthorhombic,102,0.012247627,-0.35224155,1447.705837,4.036293086,0,False,True,NM,0.0269118
mp-22732,Co5Ge7,Tetragonal,12,0.567799938,0.50740446,186.9034493,7.135530525,0,False,True,FM,2.5261294
mp-573425,Y8Co5,Monoclinic,52,0.001223444,-0.135636045,1193.13638,5.599887788,0,False,True,NM,0.0038499
mp-510322,UCo5,Trigonal,18,0.096460049,0.041951313,234.7208203,11.30569498,0,False,True,FiM,5.0958882
mp-16316,Co5As2,Hexagonal,42,0.068808742,-0.055527418,493.8096957,8.968534117,0,False,True,FM,25.441083
mp-1072579,ThCo5,Hexagonal,6,2.528016763,2.431201507,279.0515272,3.134233435,0,False,True,FiM,6.4232772
mp-1077071,GdCo5,Hexagonal,6,0,-0.051938177,83.27711759,9.01116841,0,False,True,FM,15.0870016
mp-1200,TbCo5,Hexagonal,6,0.017231783,-0.083006253,83.13008101,9.060572374,0,False,True,FiM,7.1780703
mp-1429,SmCo5,Hexagonal,6,0.010960905,-0.045282098,84.70328381,8.724372703,0,False,True,FiM,7.1140864
mp-1731,LaCo5,Hexagonal,6,0.033459965,0.0126805,86.52449373,8.32090766,0,False,True,FiM,6.7631264
mp-2435,HoCo5,Hexagonal,6,0.021986882,-0.094829354,81.52043778,9.361794704,0,False,True,FiM,7.9094534
mp-2551,DyCo5,Hexagonal,6,0.019585251,-0.089085242,82.76310515,9.172468336,0,False,True,FiM,7.1992994
mp-2740,ErCo5,Hexagonal,6,0.024626409,-0.103211512,81.92966952,9.362230695,0,False,True,FiM,7.2274907
mp-2827,YCo5,Hexagonal,6,0.011988458,-0.076484268,83.28558015,7.647614378,0,False,True,FiM,7.1900299
mp-2837,PrCo5,Hexagonal,6,0.024333104,0.022624767,86.6991806,8.342489694,0,False,True,FiM,7.0742107
mp-569,NdCo5,Hexagonal,6,0.019585961,0.000359954,85.93436185,8.481168923,0,False,True,FiM,7.0897335
mp-764,CeCo5,Hexagonal,6,0.028969368,-0.08812799,82.95458804,8.703225126,0,False,True,FiM,6.5375306
mp-809,ThCo5,Hexagonal,6,0.051389077,-0.045426178,84.67845669,10.32863211,0,False,True,FiM,6.9325943
mp-1102044,LaCo5,Orthorhombic,12,0.032896214,0.01211675,175.4019434,8.209285582,0,False,True,FiM,13.6872949
mp-1194572,Co5B16,Orthorhombic,42,0.029816535,-0.111861682,304.4412836,5.10139597,0,False,True,NM,0.0309477
mp-1104334,Nb7Co6,Trigonal,13,0,-0.161242812,186.6996728,8.92924945,0,False,True,NM,0.003644
mp-1104548,Ta7Co6,Trigonal,13,0.001463261,-0.234984564,185.3035739,14.51921485,0,False,True,NM,0.002073
mp-1205422,Hf2Co7,Monoclinic,18,0.008048038,-0.222649133,231.1921557,11.0540545,0,False,True,FiM,15.4630556
mp-30967,Tb12Co7,Monoclinic,38,0,-0.148820542,848.5026105,9.079163903,0,False,True,NM,0.2602988
mp-30969,Ho12Co7,Monoclinic,38,0,-0.175435718,824.7970811,9.630259551,0,False,True,NM,0.1961735
mp-30970,Er12Co7,Monoclinic,38,0,-0.202081798,814.0476369,9.871430543,0,False,True,NM,0.1893241
mp-573622,Dy12Co7,Monoclinic,38,0,-0.160232493,844.000026,9.296391392,0,False,True,FiM,4.720276
mp-1105377,Co7W6,Trigonal,13,2.269009168,2.269009168,309.1998899,8.139288541,0,False,True,FiM,13.0114466
